No.,カテゴリ,問題文（シチュエーション）,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説・根拠,画像生成プロンプト (Midjourney)
1,現場入り,あなたの集合時間は9:00です。会場は大規模な展示ホールで、スタッフ搬入口は最寄り駅から徒歩15分、搬入口から控室までは5分かかります。,9:00に最寄り駅に到着し、「現着しました」とチーフにLINEを送る。,8:55に搬入口に到着し、一服してから9:00ちょうどに受付を済ませる。,8:40に搬入口に到着し、トイレや靴の履き替えを済ませ、8:55には作業可能な状態で待機する。,時間短縮のため、9:00にゲスト用の正面玄関から入館する。,C,イベント業界の集合時間は「作業開始可能時間」を指します。入館手続きや移動時間を逆算し、早めに到着して準備を整えるのが鉄則です。ゲスト動線の使用は厳禁です。,"Create an image of a digital watch displaying 8:55 AM, with a blurry view of a large convention center loading dock entrance in the distance. The perspective is from a rushing person looking at their watch."
2,身だしなみ,企業セミナーの配信現場。あなたはカメラアシスタントとして参加します。私服勤務ですが、お気に入りの派手なロゴ入りTシャツとダメージジーンズを着てきました。,クリエイティブな職種なので、個性を出すためにそのままで作業する。,上着だけ黒いジャケットを羽織れば問題ない。,持参した無地の黒Tシャツとチノパン（または作業用パンツ）に着替える。,クライアントに見られないように、カメラの後ろに隠れ続ける。,C,企業イベントではスタッフの服装も「品格」の一部です。ダメージジーンズや派手な色は避け、清潔感のある「黒」基調の服装に着替えるのがマナーです。,"A close-up shot of a camera assistant wearing a bright neon graphic t-shirt and ripped jeans standing in a formal dark corporate conference room, contrasting sharply with the suited clients."
3,身だしなみ,真夏の搬入作業で大量に汗をかきました。本番まであと30分。クライアントも同席する狭いオペレーション卓での業務が始まります。,汗の臭いを消すために、強めの香水を振る。,自分の体臭には気づかないので、そのまま業務を続ける。,無香料のボディシートで体を拭き、予備のTシャツに着替える。,クライアントに「汗臭くてすみません」と先に謝っておく。,C,密室での香水は「スメルハラスメント」になり得ます。汗ケアと着替えの持参は、周囲への配慮として必須の準備です。,"A pack of unscented body wipes, a stick of deodorant, and a freshly folded black t-shirt sitting on a road case backstage."
4,技術・電源,スマホのバッテリーが残り10%です。業務連絡（LINE）を確認する必要がありますが、モバイルバッテリーを忘れました。壁に空いているコンセントがあります。,業務に必要なので、無断で使用して充電する。,目立たないように、機材ケースの裏にあるコンセントを使う。,制作チーフに状況を報告し、許可された電源タップを使用するか、モバイルバッテリーを借りる。,照明機材用の電源タップに空きがあるので、そこに挿す。,C,無断充電は「電気窃盗」の法的リスクがあるほか、ノイズ混入やブレーカー落ちなどの技術トラブルの原因になります。必ず許可を得ましょう。,Close-up of a smartphone with a red low-battery icon next to an unused white wall outlet in a hotel banquet hall corridor.
5,インカム,本番中、ディレクターからの指示がインカムを通じて聞こえましたが、会場の音がうるさくて内容が聞き取れませんでした。,「え？何ですか？」と大声で聞き返す。,たぶん「スタンバイ」だろうと推測して行動する。,聞こえなかったが、怒られるのが怖いので沈黙する。,「（自分の名前）です。会場音が大きく聞き取れませんでした。もう一度お願いします」と冷静に返す。,D,推測での行動（だろう運転）は事故の元です。大声はマイク割れの原因になるため、冷静に再送を依頼するのがプロの対応です。,"A focused event staff member wearing a headset, pressing one hand against the earcup, trying to listen amidst a loud concert environment with stage lights flaring."
6,報告連絡,設営中、高価なレンズを誤ってケースにぶつけてしまいました。見た目に傷はありませんが、内部への影響は不明です。,傷がないので黙ってそのまま使う。,怒られるのが怖いので、他のスタッフが触った後に「壊れてます」と報告する。,即座にチーフに報告し、「ぶつけてしまいました。外傷はありませんがチェックをお願いします」と伝える。,休憩時間にこっそり動作確認をして、動けば報告しない。,C,隠蔽は最悪の行動です。本番中の故障を防ぐため、どんなに小さな衝撃でも即座に報告し、点検を受けるのが責任ある行動です。,A camera lens resting in a padded case. A hand is hovering over it nervously. The background shows a busy setup scene.
7,会場保護,ケーブルを床に固定するために「ガムテープ」を渡されました。会場はホテルの絨毯張りの宴会場です。,強度が高いガムテープでしっかりと固定する。,絨毯にはテープがつかないので、ケーブルをそのまま放置する。,ガムテープは粘着剤が残るため使用せず、支給された「養生テープ（弱粘着）」または「ガッファーテープ」を使用するか、チーフに確認する。,ガムテープの粘着力を弱めるために、一度自分の服に貼ってから使う。,C,強粘着テープは糊残りの原因となり、会場から修繕費を請求される恐れがあります。床材に適したテープ選びが必須です。,A roll of brown packaging tape and a roll of matte black gaffer tape sitting on a patterned hotel carpet. A hand reaches for the brown tape.
8,挨拶・序列,あなたは台車に荷物を載せてエレベーターを待っています。ドアが開き、中にはクライアントの重役と見られる人たちが乗っていました。スペースはギリギリ入れそうです。,「失礼します」と言って、強引に台車を入れる。,「お先にどうぞ」と会釈し、自分は乗らずに見送る。,クライアントに降りてもらって、荷物を先に入れる。,無言で乗り込む。,B,搬入用EVでない限り、優先権はゲストにあります。荷物を持ったスタッフが狭い空間に同乗するのは避け、次を待つのがマナーです。,Inside an elevator looking out. A group of suited executives stand inside. A staff member with a loaded equipment cart stands outside the open doors.
9,挨拶・序列,出演者の楽屋に弁当を届ける必要があります。ドアには「〇〇様（出演者名）」の貼り紙があり、中は静かです。,時間がないので、ノックしてすぐにドアを開ける。,ノックを2回し、返事がなくても少し開けて「お弁当です」と置いてくる。,ノックをゆっくり3〜4回し、中からの返事（「はい」「どうぞ」）を待つ。返事がない場合は入らず、時間を改めて再訪するか、マネージャーに連絡する。,ドアの下の隙間からメモを入れる。,C,楽屋はプライベート空間であり、着替え中の可能性もあります。返事がないのに入室することは絶対にあってはなりません。,"A closed wooden door with a paper sign reading ""Dressing Room: Mr. Tanaka"". A hand is positioned to knock."
10,言葉遣い,現場でクライアントから「ここの照明、もっと青くできないかな？」と聞かれました。あなたはカメラ担当で、照明のことは詳しくわかりません。,「わかりません、担当じゃないので」と即答する。,「たぶんできると思います」と適当に答える。,「照明担当の者に確認してまいりますので、少々お待ちいただけますか？」と答え、すぐに担当者を連れてくる。,「それは無理ですね」と断る。,C,「担当外」は客には無関係です。無責任な回答や拒絶をせず、適切な担当者につなぐ（ブリッジする）のが正解です。,"A client pointing up at the stage lighting rig, asking a question to a junior staff member who looks uncertain."
11,謝罪,こちらのミスで開始が遅れ、クライアントがイライラしています。報告に行く際の第一声として適切なものは？,「遅れてすみません。でも機材トラブルなんで仕方ないです。」,「大変お待たせしており申し訳ございません。現在の状況と復旧見込みをご報告させていただきます。」,「いやー、参りました。パソコンが固まっちゃって。」,（無言で頭を下げる）,B,言い訳（But）から始めず、謝罪→現状→見通しの3点をセットで伝えることで、相手の不安を解消します。,First person view of approaching an annoyed-looking client checking their watch. Text overlay options for dialogue.
